source_control_id,target_requirement_id,relationship,requirement_title
ma-5,03.07.05,intersects-with,Nonlocal Maintenance
mp-2,03.08.01,intersects-with,Media Storage
mp-4,03.08.02,intersects-with,Media Access
mp-5,03.08.01,intersects-with,Media Storage
mp-6,03.08.01,intersects-with,Media Storage
pe-2,03.10.07,intersects-with,Physical Access Control
pe-3,03.10.01,intersects-with,Physical Access Authorizations
pe-6,03.10.07,intersects-with,Physical Access Control
pe-6.1,03.10.02,intersects-with,Monitoring Physical Access
pl-4.1,03.01.22,intersects-with,Publicly Accessible Content
pl-4.1,03.15.03,subset-of,Rules of Behavior
pl-8,03.15.02,intersects-with,System Security Plan
pl-8,03.16.01,intersects-with,03.16.01: Security Engineering Principles
ps-2,03.09.01,intersects-with,Personnel Screening
ps-4,03.01.01,intersects-with,Account Management
ps-5,03.01.01,intersects-with,Account Management
ps-6,03.15.03,intersects-with,Rules of Behavior
ps-7,03.16.03,intersects-with,External System Services
ra-2,03.15.02,intersects-with,System Security Plan
ra-3.1,03.17.01,intersects-with,Supply Chain Risk Management Plan
ra-3.1,03.17.02,intersects-with,"Acquisition Strategies, Tools, and Methods"
ra-3.1,03.17.03,intersects-with,Supply Chain Requirements and Processes
ra-5,03.14.01,intersects-with,Flaw Remediation
sa-10,03.04.03,intersects-with,Configuration Change Control
sa-3,03.16.01,intersects-with,03.16.01: Security Engineering Principles
sa-4,03.17.02,intersects-with,"Acquisition Strategies, Tools, and Methods"
sa-4.9,03.04.06,intersects-with,Least Functionality
sa-9,03.01.20,intersects-with,Use of External Systems
sa-9.2,03.16.03,subset-of,External System Services
sc-10,03.01.11,intersects-with,Session Termination
sc-13,03.13.10,intersects-with,Cryptographic Key Establishment and Management
sc-28,03.08.05,intersects-with,Media Transport
sc-28.1,03.08.09,intersects-with,System Backup – Cryptographic Protection
sc-28.1,03.13.11,intersects-with,03.13.11. Cryptographic Protection
sc-7,03.13.06,intersects-with,Network Communications – Deny by Default – Allow by Exception
sc-7,03.14.06,intersects-with,System Monitoring
sc-7.3,03.13.01,subset-of,Boundary Protection
sc-7.4,03.01.03,intersects-with,Information Flow Enforcement
sc-7.4,03.13.01,subset-of,Boundary Protection
sc-7.4,03.13.06,intersects-with,Network Communications – Deny by Default – Allow by Exception
sc-7.5,03.13.01,subset-of,Boundary Protection
sc-7.8,03.13.01,subset-of,Boundary Protection
sc-8,03.10.08,intersects-with,Access Control for Transmission and Output Devices
sc-8.1,03.13.11,intersects-with,03.13.11. Cryptographic Protection
si-2,03.11.02,intersects-with,Vulnerability Monitoring and Scanning
si-2.2,03.11.02,intersects-with,Vulnerability Monitoring and Scanning
si-2.2,03.14.01,intersects-with,Flaw Remediation
si-4.2,03.14.06,intersects-with,System Monitoring
si-4.5,03.14.06,intersects-with,System Monitoring
si-5,03.14.03,equivalent-to,"Security Alerts, Advisories, and Directives"
si-8,03.14.02,intersects-with,Malicious Code Protection
sr-1,03.17.01,intersects-with,Supply Chain Risk Management Plan
sr-11,03.17.02,intersects-with,"Acquisition Strategies, Tools, and Methods"
sr-12,03.08.03,intersects-with,Media Sanitization
sr-2,03.11.01,intersects-with,Risk Assessment
sr-2,03.17.03,intersects-with,Supply Chain Requirements and Processes
sr-2.1,03.17.01,intersects-with,Supply Chain Risk Management Plan
sr-3,03.17.01,intersects-with,Supply Chain Risk Management Plan
sr-5,03.17.01,intersects-with,Supply Chain Risk Management Plan
sr-6,03.17.02,intersects-with,"Acquisition Strategies, Tools, and Methods"
